"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"F16AP00185","Department of Interior","Fish and Wildlife Service-International Affairs","Department of the Interior","Fish and Wildlife Service-International Affairs","PAMUKKALE BILIM MERKEZI DERNEGI","","Turkey","533097869","INWATER RESEARCH IN THE VICINITY OF DALYAN BEACH, TURKEY.","The recipient will; 1.  identify fishing activities interacting with sea turtle populations using questionairres and on board observers; 2. develop leaflets for fisherman on safe handling and release of sea turtles; and 3. develop and post signs on nesting beaches and lagoons in Dalyan to educate tourists and fisherman about sea turtle conservation issues.","Implementation","Bilateral","12000","Direct Appropriation","2016-03-11 00:00:00","2017-03-31 00:00:00","Turkey","","12000","Disbursement","2016-04-22 00:00:00","2016","3","General budget support","Partially tied","Private grants","Aid grant excluding debt reorganisation","41030","Bio-diversity","6002","Environment","Natural Resources and Biodiversity","14 1652","Multinational Species Conservation Fund, United States Fish and Wildlife Service","0","0","2017-01-04 00:00:00"
"DTRA - 86","Department of Defense","Defense Threat Reduction Agency","Department of Defense","Defense Threat Reduction Agency","Defense Threat Reduction Agency","","United States","","Section 1204","The Chemical, Biological, Radiological & Nuclear Response Program (CBRN) Preparedness Program (CP2) is the U.S. Department of Defense’s lead program for developing Partner Nations’ (PN) capabilities to prevent, protect against, mitigate, respond to, and recover from chemical, biological, radiological, and nuclear (CBRN) incidents. CP2 conducts “building partner capacity” activities that assess, train, and equip PN military and civil organizations across these full-spectrum response capabilities.","Implementation","Bilateral","181003.03","","2015-10-01 00:00:00","2016-09-30 00:00:00","Turkey","","181003.03","Expenditure","2015-10-01 00:00:00","2016","1","Other technical assistance","Tied","ODA","Aid grant excluding debt reorganisation","99810","Sectors not specified","7002","Humanitarian Assistance","Disaster Readiness","97 0100","Operation and Maintenance, Defense-Wide, Defense","2016","2016","2017-01-23 00:00:00"
"ICDP - 64","Department of Defense","Counter Narcotics","Department of Defense","Assistant Secretary of Defense for Special Operations and Low Intensity Conflict","Department of Defense","","United States","","International Counter-Drug Program (ICDP)","The International Counter-Drug Program (ICDP) provides defense articles and services to foreign counternarcotic (C/N) law enforcement agencies; including non-lethal equipment and services support to combat drug production and drug transiting in selected countries.","Implementation","Bilateral","100000","","2015-10-01 00:00:00","2016-09-30 00:00:00","Turkey","","100000","Commitment","2016-09-30 00:00:00","2016","4","Project-type interventions","Partially tied","OOF","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","97 0105","Drug Interdiction and Counter-Drug Activities, Defense","2016","2016","2016-12-01 00:00:00"
"IL281011575K11","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Fair Labor Association","","United States","612066121","Piloting the USDA Guidelines in the Hazelnut Supply Chain in Turkey","To establish and pilot a sustainable program to reduce child labor in the hazelnut supply chain in Turkey through implementation of the USDA’s Guidelines for Eliminating Child and Forced Labor in Agricultural Supply Chains","Implementation","Bilateral","4870000","Direct Appropriation","2015-11-20 00:00:00","2018-03-30 00:00:00","Turkey","","43847.550000000003","Expenditure","2016-03-31 00:00:00","2016","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15110","Economic and development policy/planning","5008","Economic Development","Labor Policies and Markets","16 0165","Salaries and Expenses, Departmental Management","2012","2017","2016-06-16 00:00:00"
"IL281011575K11","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Fair Labor Association","","United States","612066121","Piloting the USDA Guidelines in the Hazelnut Supply Chain in Turkey","To establish and pilot a sustainable program to reduce child labor in the hazelnut supply chain in Turkey through implementation of the USDA’s Guidelines for Eliminating Child and Forced Labor in Agricultural Supply Chains","Implementation","Bilateral","4870000","Direct Appropriation","2015-11-20 00:00:00","2018-03-30 00:00:00","Turkey","","216007.54999999999","Expenditure","2016-09-30 00:00:00","2016","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15110","Economic and development policy/planning","5008","Economic Development","Labor Policies and Markets","16 0165","Salaries and Expenses, Departmental Management","2012","2017","2016-06-16 00:00:00"
"F16AP00185","Department of Interior","Fish and Wildlife Service-International Affairs","Department of the Interior","Fish and Wildlife Service-International Affairs","PAMUKKALE BILIM MERKEZI DERNEGI","","Turkey","533097869","INWATER RESEARCH IN THE VICINITY OF DALYAN BEACH, TURKEY.","The recipient will; 1.  identify fishing activities interacting with sea turtle populations using questionairres and on board observers; 2. develop leaflets for fisherman on safe handling and release of sea turtles; and 3. develop and post signs on nesting beaches and lagoons in Dalyan to educate tourists and fisherman about sea turtle conservation issues.","Implementation","Bilateral","12000","Direct Appropriation","2016-03-11 00:00:00","2017-03-31 00:00:00","Turkey","","12000","Commitment","2016-03-11 00:00:00","2016","2","General budget support","Partially tied","Private grants","Aid grant excluding debt reorganisation","41030","Bio-diversity","6002","Environment","Natural Resources and Biodiversity","14 1652","Multinational Species Conservation Fund, United States Fish and Wildlife Service","2016","0","2017-01-04 00:00:00"
"IL281011575K11","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Fair Labor Association","","United States","612066121","Piloting the USDA Guidelines in the Hazelnut Supply Chain in Turkey","To establish and pilot a sustainable program to reduce child labor in the hazelnut supply chain in Turkey through implementation of the USDA’s Guidelines for Eliminating Child and Forced Labor in Agricultural Supply Chains","Implementation","Bilateral","4870000","Direct Appropriation","2015-11-20 00:00:00","2018-03-30 00:00:00","Turkey","","174781.20000000001","Expenditure","2016-06-30 00:00:00","2016","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15110","Economic and development policy/planning","5008","Economic Development","Labor Policies and Markets","16 0165","Salaries and Expenses, Departmental Management","2012","2017","2016-06-16 00:00:00"
"IL281011575K11","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Fair Labor Association","","United States","612066121","Piloting the USDA Guidelines in the Hazelnut Supply Chain in Turkey","To establish and pilot a sustainable program to reduce child labor in the hazelnut supply chain in Turkey through implementation of the USDA’s Guidelines for Eliminating Child and Forced Labor in Agricultural Supply Chains","Implementation","Bilateral","4870000","Direct Appropriation","2015-11-20 00:00:00","2018-03-30 00:00:00","Turkey","","4870000","Commitment","2015-12-31 00:00:00","2016","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15110","Economic and development policy/planning","5008","Economic Development","Labor Policies and Markets","16 0165","Salaries and Expenses, Departmental Management","2012","2017","2016-06-16 00:00:00"
"1686O1748A","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","790238638","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2015-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","597","Disbursement","2018-03-31 00:00:00","2018","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2018-03-31 00:00:00"
"2C63C746","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","3.02","Commitment","2017-06-21 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"679B49F2","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","339.31","Disbursement","2017-01-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"4096AAB0","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","196","Disbursement","2017-04-26 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"AD58BF3D","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","15.1","Disbursement","2016-12-09 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"14R312","U.S. Department of State","Bureau of International Narcotics and Law Enforcement Affairs","Department of Justice","Drug Enforcement Agency","Department of Justice Drug Enforcement Agency","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Completion","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","Disbursement","500","Disbursement","2017-06-12 00:00:00","2017","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2017-07-28 00:00:00"
"15R038","Department of Defense","HQ U.S. European Command","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","HQ USEUCOM CNT funds are provided to DEA for various training events within the USEUCOM AOR.","Jandarma Beta course, counternarcotics training, Turkey.","Implementation","Multilateral","718863","Economy Act","2015-07-14 00:00:00","2015-09-30 00:00:00","Turkey","COMMITMENT","350","Commitment","2015-08-24 00:00:00","2015","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2015","2015","2015-12-31 00:00:00"
"180730491051717501","U.S. Department of State","","U.S. Department of State","Bureau Of Democracy, Human Rights, And Labor","Information Redacted","","","Information Redacted","","INM-EOP","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","-2962962","Disbursement","2018-03-14 00:00:00","2018","2","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","151","Economic and development policy/planning","2000","Democracy, Human Rights, and Governance","Democracy, Human Rights, and Governance - General","19 1121","Democracy Fund","2016","2017","2018-11-02 00:00:00"
"11569F94","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","899.91999999999996","Disbursement","2017-07-24 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"A5351259","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","70.739999999999995","Disbursement","2016-12-19 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"9132FDF4","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","3721.1999999999998","Commitment","2016-10-25 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"C50FF858","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","743.76999999999998","Disbursement","2017-07-26 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"687D5B95","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","187.03999999999999","Disbursement","2017-03-20 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"CD6B00CB","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","152.69","Disbursement","2016-10-28 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"9A5F5811","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","2422.8600000000001","Commitment","2017-06-01 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"4A870B7F","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","81.069999999999993","Disbursement","2017-02-21 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"STU15017F3042","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Reversal","3.4100000000000001","Commitment","2017-09-08 00:00:00","2017","4","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"16A0882A","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","143.5","Disbursement","2016-11-29 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"79C638D7","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","441.97000000000003","Disbursement","2017-05-11 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"223AC6CD8BA2","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Personal Services Contractors - USAID","","","790238638","Staff Travel Costs","This award is for a staff travel costs of the U.S. Agency for International Development.","Completion","Bilateral","0","Direct Appropriation","2017-10-01 00:00:00","2018-09-30 00:00:00","Turkey","This award is for a staff travel costs of the U.S. Agency for International Development.","-658.52999999999997","Commitment","2018-09-30 00:00:00","2018","4","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","72 1035","International Disaster and Famine Assistance","0","0","2018-09-30 00:00:00"
"277-STU15017F3029","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Enterprise - Non United States Unknown","","","","Protection, Assistance and Solutions","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","Implementation","Bilateral","0","Direct Appropriation","2016-10-01 00:00:00","2018-09-30 00:00:00","Turkey","The provision of effective protection, assistance, and durable solutions for refugees, internally displaced persons (IDPs), and other victims of conflict and disasters.","820","Commitment","2017-06-30 00:00:00","2017","3","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1006","Peace and Security","Conflict Mitigation and Reconciliation","72 1035","International Disaster Assistance, Funds Appropriated to the President, U.S. Agency for International Development","2017","0","2017-06-30 00:00:00"
"277-ICASS-16-FFP","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","U.S. Government - U.S. Agency for International Development","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2014-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","4475.5799999999999","Disbursement","2015-12-31 00:00:00","2016","1","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2015","0","2015-12-31 00:00:00"
"F7D03E4A","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","9.3000000000000007","Disbursement","2017-03-20 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
